,text
148,"Credit card interest, would have to be one of the biggest ones. I you can not afford it then don&#39;t by it."
149,"You are so brave!! Thank you for sharing and putting this out there, the world needs to know that &#39;cheap&#39; actually comes at a very expensive price... my heart felt heavy watching this, I feel so sorry for all these workers..."
150,She&#39;s beautiful.. While was she being bullied
151,This is idiocracy in real life.
152,"It’s funny how their support system ignores them, however, look how articulate they are. Look how brilliant they are at speaking up for themselves. We need to learn to make room. Once in college, I saw someone in a wheelchair and I ran with glee to assist the young lady, however she showed me she got it. She used the ramp, she even told me she’ll open the door herself. I respected that, she explained that she respect that I was looking out for her, however the things she can do for herself, she enjoys doing. Explained to me that a lot of able body people just assume, let’s learn to make room."
153,"I feel like a reprehensible worm amongst beautiful, awe-inspiring dragons."
154,Why do you show footage of a motovlogger (Doodle on a motorcycle) during your description of the 12 tribes cult? I intend to show her this video. You may be sued. You can’t just take whatever footage of people you find and assign them to your cult video.
155,My mother was horrific narcissist abuser. But still her care giver. I want to leave run. But with good heart to try to care for her. And hate it but do it!!!
156,"They are not, endless currency debasement is"
157,"Sometimes people just want to know there not alone. U as a sound individual,  had similar thoughts like other riders on that train, expressing your concerns to other riders may have changed that entire situation, that&#39;s the essence of UNITY. Plus the opportunity to connect culturally to other has faded away. I&#39;m not nosey, I just have a weak as heart for all people."
158,"This video found me at the right time. I am 26 years old and found out this week I am pregnant with my first child. I was in a relationship with the father of the child and the way he reacted when I told him was very foul. He said he would only be with me if I chose to have an abortion, and if I keep the child, he will have nothing to do with me; or with the child. I was shocked by this. I am taking space from him now, if I have to raise my baby alone, i will do that. This video spoke to me in many ways. The calming raindrops in the background while you read was lovely. I am so grateful to have been recommended this video."
159,i can&#39;t find work at all since i graduated years ago. because on my last days of college. my college suddenly inform a lot of their students including me. that their records are gone. and they suddenly told everyone there to take extra exam. and i obviously can&#39;t do well on a sudden exam on things that are useless in real life. and i already forgot about what was it all about.<br><br>so they let me graduate with a minimum scores to be able to graduate. and i was one of top students there. my scores are always near the top or at the very top. and because of that low scores on my degrees. nobody wants to hire me. so i gave up looking for work in the office.<br><br>and without my family help. obviously i would be starving. there were things i could do to earn money. but now that things are gone. and i am currently on the lookout for what i can do to earn money.<br><br>people told me to be youtuber. but what they didn&#39;t realize is that being youtuber also needs cash. without that cash. people can&#39;t afford the equipment and to buy the stuff needed for each video. and they finally gave up on telling me to try to be youtuber. because i told them that i need this and that to be youtuber. and it is not a guarantee that i would be successful.<br><br>so i could only live my life lowkey and only buy stuff that i need. while looking for things that i could do to earn money.<br><br>and having a high IQ is not a guarantee of success. it is also about luck. because my IQ doesn&#39;t help me to get a job. but it does help me to easily learn stuff.
